ess_cluster;cluster_short;ess_common;ess_short;ess_order;unique_short;ess_unique
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;biodiversiteit;Biodiversiteit in de beekvalleiGeschikte leef-, rust-, voortplantingsplek en/of migratiemogelijkheid voor een diversiteit aan wilde soorten
Habitat & Biodiversity;Biodiversity;Pollination;pollination;12;habitat;Leefgebied voor wilde bijen en andere bestuivers
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;recreatie observatie;Observatie van dieren en planten
Wild food harvest;Wild food;Hunting;hunting;35;recreatie jacht;Jacht 
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;landbouw;Landbouwactiviteiten in de beekvallei
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;water infiltratie;Innovatieve landbouwpraktijkenTesten van innovatieve landbouwpraktijken, door samen met de landbouwers maatregelen uit te werken voor een betere waterkwaliteit, en innovatieve grondbewerkingstechnieken uit te testen die een positieve invloed hebben op bodemstructuur en -textuur, bodemleven en -biologie, waterinfiltratie
Bio-production;Bio-production;Regional products;regio produce;7;streekproducten prd;Mogelijkheid tot verkoop van lokale landbouwproducten (bv. korte-keten verkoop, streekproducten)
Bio-production;Bio-production;Agricultural production;agri produce;1;csa boerderijen;Community Supported Agriculture (CSA) boerderijen 
Bio-production;Bio-production;Home gardening & hobby animals;gardening;5;moestuinen;Moestuinen
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;water infiltratie;Waterinfiltratie, wateropvang en vermijden van overstromingen De capaciteit van de bodem en vegetatie om water op te nemen, grondwaterlagen te voeden en waterstromen te stabiliseren.
Water cycle related services;Water cycle;Regulation of erosion risk;erosion;31;erosiepreventie;Preventie van erosie en modderstromenVegetatie vermindert het risico op het losmaken en transport van bodemdeeltjes (= erosie) en modderstromen.
Bio-production;Bio-production;Regulation of soil fertility;soil fertility;8;behoud vruchtbare bodem;Behoud van vruchtbare bodemsBehoud van stabiele bodems die planten voorzien van de nodige voedingsstoffen en water.
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;waterkwaliteit;Verbetering waterkwaliteitVerbetering van de waterkwaliteit door verwijdering van vervuilende stoffen door natuurlijke processen.
Quality of living;QoL;Drinking water;drinking;21;drinkwater prd;DrinkwaterproductieProductie van oppervlakte- of grondwater van goede kwaliteit voor menselijk gebruik.
Quality of living;QoL;Regulation of air quality;air quality;20;luchtkwaliteit;Verbetering van luchtkwaliteitDe afvang van fijn stof en luchtvervuiling door vegetatie.
Climate service;Climate;Macro-Climate regulation;macro climate;13;klimaat globaal;Regulatie globaal klimaatHet opnemen en vastleggen van koolstof uit de atmosfeer door bodems en  vegetatie.
Quality of living;QoL;Micro-Climate regulation;micro climate;22;klimaat micro;Regulatie microklimaatVegetatie reguleert de lokale klimaatomstandigheden (bv. bescherming tegen hevige wind, vermindering van hitte-eiland effect in versteende omgeving).
Quality of living;QoL;Quality of living/working environment;quality of living;24;aangename omgeving;Aangename woon- en/of werkomgevingDe baten om te wonen of te werken in de groene omgeving van de beekvallei.
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;geluids- en visuele buffer;Afschermfunctie Vermindering van geluidsoverlast en visuele impacts door bv. een bomenrij.
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;stadsrandbos;Stadsrandbos in de beekvallei
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;gezondheid lichaam;Bijdrage aan gezondheidDe baten aan de lichamelijke gezondheid door in een groene omgeving te bewegen en/of te verblijven.
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;gezondheid geest;Bijdrage aan welzijnDe baten aan de mentale gezondheid door in een groene omgeving te ontspannen en/of verblijven.
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;sociale cohesie;Bijdrage aan sociale relaties en sociale cohesieDe mogelijkheid om elkaar te ontmoeten in een groene omgeving.
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;toegankelijkheid;Toegankelijkheid van de beekvalleiDe toegankelijkheid van de beekvallei voor wandelaars, fietsers, minder-validen en/of ouderen.
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;esthetiek;Esthetische landschapswaarde van de beekvallei
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;streekidentiteit;Bijdrage aan streekidentiteit Bijdrage aan streekidentiteit via historische, culturele, artistieke erfgoed (bv. watermolen Rufferdinge)
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie wandelen;Wandelen
Recreation & Tourism;Rec & Tourism;Space for play & rest;play;27;recreatie spelen;Plekken om te spelen
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;recreatie picknick;Picknicken/eten en drinken in een natuurlijke omgeving
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie lopen;Lopen/joggen
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie fiets;Fietsen
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie mtb;Mountainbiken
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie paardrijden;Paardrijden
Recreation & Tourism;Rec & Tourism;Motorised recreation;motorised r&r;26;recreatie gemotoriseerd;Gemotoriseerde recreatie (Bv. brommer, quad)
Cultural, social & aesthetic values;Cultural-social;Creative activities & inspiration;inspiration;17;creatieve activiteiten;Creatieve activiteiten (bv. schilderen, fotograferen)
Recreation & Tourism;Rec & Tourism;Tourism;tourism;29;recreatie georganiseerd;Georganiseerde activiteiten (bv. loopevent)
Recreation & Tourism;Rec & Tourism;Tourism;tourism;29;economie toerisme;Recreatie en toerisme Economische activiteiten via toerisme en recreatie (bv. horeca, hoevetoerisme)
Quality of living;QoL;Quality of living/working environment;quality of living;24;zorgcentra;Zorgcentra in de nabijheid van de beekvalleiBv. bejaardentehuis, revalidatiecentrum, wellness, …
Quality of living;QoL;Quality of living/working environment;quality of living;24;buurtgroen;Buurtgroen
Recreation & Tourism;Rec & Tourism;Space for play & rest;play;27;spelen in het groen;Spelen in het groen
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie sport in groen;Sportief recreëren in groen
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;ontmoetingsplaats in groen;Ontmoetingsplaats in het groen
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;natuurervaring;Natuurervaring
Bio-production;Bio-production;Home gardening & hobby animals;gardening;5;volkstuinieren;Volkstuinieren & stadslandbouw
Wild food harvest;Wild food;Fishery;fishery;34;recreatie vissen;Vissen in stadsrivieren
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;wandelpaden in het groen;Wandelpaden in het groen
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;groene fietsverbindingen;Fietsverbindingen in het groen
